day,hour,rep1.ID,cal.date,DateID,cyano.rep1,pico.rep1,nano.rep1,rep2.ID,cyano.rep2,pico.rep2,nano.rep2,rep3.ID,cyano.rep3,pico.rep3,nano.rep3,avg.cyano,avg.pico,avg.nano,std.cyano,std.pico,std.nano,bac.rep1.ID,bact.rep1,bac.rep2.ID,bact.rep2,avg.bact,std.bact
1,5:00,A07,5/28/21,5/28/202 5:00,1729,1879,495,A08,2841,2411,495,A09,3225,2533,523,2598,1706,505,777,348,16,A01,1.87E+06,A02,1.49E+06,1.68E+06,2.74E+05
1,9:00,A10,5/28/21,5/28/21 9:00,3234,2196,439,A11,3580,2711,579,A12,3954,2552,720,3589,1865,579,360,263,140,A03,2.75E+06,A04,2.32E+06,2.54E+06,3.04E+05
1,13:00,B07,5/28/21,5/28/21 13:00,3384,2075,823,B08,2729,1916,411,B09,3758,2029,458,3291,1505,564,521,82,225,A05,1.78E+06,A06,2.44E+06,2.11E+06,4.66E+05
1,17:00,B10,5/28/21,5/28/21 17:00,3374,2636,738,B11,4160,2814,589,B12,4160,2907,710,3898,2089,679,454,138,79,A07,2.56E+06,A08,2.88E+06,2.72E+06,2.25E+05
1,21:00,C07,5/28/21,5/28/21 21:00,2066,1783,453,C08,1851,1617,374,C09,4393,2356,925,2770,1439,584,1410,387,298,A09,1.66E+06,A10,2.40E+06,2.03E+06,5.22E+05
2,1:00,C10,5/29/21,5/29/21 1:00,1355,2281,580,C11,2383,2477,458,C12,4372,2711,1267,2704,1867,768,1534,216,436,E04,1.38E+06,E05,3.72E+06,2.55E+06,1.65E+06
2,5:00,D07,5/29/21,5/29/21 5:00,2710,2112,467,D08,2729,2037,280,D09,5281,2645,608,3573,1699,452,1479,331,164,E06,3.76E+06,E07,2.73E+06,3.25E+06,7.27E+05
2,9:00,D10,5/29/21,5/29/21 9:00,5178,2655,785,D11,5824,2636,832,D12,4273,2767,879,5091,2014,832,779,71,47,E08,2.60E+06,E09,3.86E+06,3.23E+06,8.93E+05
2,13:00,E07,5/29/21,5/29/21 13:00,2328,3206,776,E08,3614,4651,1306,E09,5256,4790,967,3732,3162,1016,1468,877,268,E10,2.12E+06,E11,1.12E+06,1.62E+06,7.07E+05
2,15:00,E10,5/29/21,5/29/21 15:00,4094,2038,673,E11,4309,2739,804,E12,3394,2421,813,3932,1800,763,479,351,78,E12,1.46E+06,F01,1.31E+06,1.39E+06,1.09E+05
2,17:00,F07,5/29/21,5/29/21 17:00,4329,2556,532,F08,5583,3870,826,F09,4939,2529,615,4950,2239,658,627,766,151,F02,4.16E+05,F03,2.51E+06,1.46E+06,1.48E+06
2,19:00,F10,5/29/21,5/29/21 19:00,4437,3435,913,F11,5319,3898,1206,F12,3766,3188,837,4508,2630,985,779,361,195,F04,1.85E+06,F05,1.26E+06,1.56E+06,4.16E+05
2,21:00,G07,5/29/21,5/29/21 21:00,3662,4845,965,G08,2329,2547,355,G09,3908,2694,535,3300,2521,618,849,1286,313,F06,7.20E+05,F07,6.96E+05,7.08E+05,1.65E+04
2,23:00,G10,5/29/21,5/29/21 23:00,3386,2208,893,G11,3949,2436,752,G12,4103,2666,1118,3813,1827,921,377,229,185,F08,8.18E+05,F09,9.25E+05,8.71E+05,7.60E+04
3,3:00,G01,5/30/21,5/30/21 3:00,2868,1950,851,G02,3573,2117,558,G03,4479,1580,309,3640,1412,572,808,275,271,F11,1.64E+06,F12,1.86E+06,1.75E+06,1.55E+05
3,5:00,G04,5/30/21,5/30/21 5:00,7281,1779,677,G05,5872,1954,598,G06,3735,1439,438,5629,1293,571,1785,262,122,G01,2.54E+06,G02,4.07E+06,3.30E+06,1.08E+06
3,7:00,G07,5/30/21,5/30/21 7:00,4300,1514,327,G08,5010,1309,421,G09,3234,1458,393,4182,1070,380,894,106,48,G03,3.44E+06,G04,1.22E+06,2.33E+06,1.57E+06
3,11:00,G10,5/30/21,5/30/21 11:00,4200,2317,662,G11,1833,2169,421,G12,2113,1646,337,2715,1533,473,1293,353,169,G05,1.77E+06,G06,1.93E+06,1.85E+06,1.12E+05
3,13:00,H01,5/30/21,5/30/21 13:00,2721,1658,606,H02,2287,1436,718,H03,7536,1851,757,4181,1236,694,2914,208,79,G07,1.03E+06,G08,2.88E+06,1.95E+06,1.31E+06
3,17:00,H04,5/30/21,5/30/21 17:00,8172,1943,443,H05,2830,2099,595,H06,3010,1823,477,4671,1466,505,3033,138,80,G09,1.36E+06,G10,1.38E+06,1.37E+06,1.65E+04
3,21:00,H07,5/30/21,5/30/21 21:00,2307,3955,744,H08,4969,3657,533,NA,,,,3638,2538,639,1882,211,149,G11,1.38E+06,G12,6.68E+05,1.03E+06,5.06E+05
4,1:00,E07,5/31/21,5/31/21 1:00,2243,3038,393,E08,1524,2963,374,E09,22549,6727,589,8772,3182,452,11936,2152,119,C11,1.61E+06,C12,1.96E+06,1.78E+06,2.48E+05
4,5:00,E10,5/31/21,5/31/21 5:00,5346,3374,645,E11,3112,3150,477,E12,2786,2636,654,3748,2290,592,1394,378,100,D01,1.08E+06,D02,1.16E+06,1.12E+06,5.95E+04
4,9:00,F01,5/31/21,5/31/21 9:00,1075,1468,234,F02,5703,1963,365,F03,5788,2917,732,4188,1587,443,2697,737,258,D03,4.07E+06,D04,1.47E+06,2.77E+06,1.84E+06
4,13:00,F04,5/31/21,5/31/21 13:00,6483,2714,717,F05,18441,6245,839,F06,7406,5639,810,10776,3650,789,6653,1888,64,D05,1.28E+06,D06,1.30E+06,1.29E+06,9.93E+03
4,17:00,F07,5/31/21,5/31/21 17:00,5814,3758,935,F08,5170,3234,776,F09,6721,3524,580,5902,2629,763,780,262,178,D07,1.33E+06,D08,9.02E+05,1.12E+06,3.02E+05
4,21:00,F10,5/31/21,5/31/21 21:00,4870,4160,851,F11,5366,4244,832,F12,4449,8166,1271,4895,4143,985,459,2289,248,D09,1.53E+06,D10,7.99E+05,1.16E+06,5.15E+05
5,1:00,B04,6/1/21,6/1/21 1:00,3021,4930,1038,B05,3870,4726,1135,B06,5279,5113,1095,4057,3692,1090,1141,193,49,G01,7.66E+05,G02,7.01E+05,7.34E+05,4.63E+04
5,5:00,B07,6/1/21,6/1/21 5:00,5076,5535,1142,B08,4280,5141,1140,B09,4507,4879,1234,4621,3889,1172,410,330,54,G03,8.47E+05,G04,9.67E+05,9.07E+05,8.52E+04
5,9:00,B10,6/1/21,6/1/21 9:00,4986,4185,1137,B11,4519,3691,767,B12,4695,4407,1216,4733,3071,1040,236,367,239,G05,8.08E+05,G06,7.48E+05,7.78E+05,4.30E+04
5,13:00,C04,6/1/21,6/1/21 13:00,2005,3172,393,C05,2655,4560,1249,C06,23246,14008,4272,9302,5435,1971,12080,5897,2038,G07,7.01E+05,G08,5.65E+05,6.33E+05,9.58E+04
5,17:00,C07,6/1/21,6/1/21 17:00,12113,6171,1385,C08,25003,16275,4539,C09,4464,6220,1880,13860,7166,2601,10380,5819,1696,G09,8.27E+05,G10,7.29E+05,7.78E+05,6.94E+04
5,21:00,C10,6/1/21,6/1/21 21:00,4008,3259,712,C11,6798,4843,1589,C12,3383,2987,600,4730,2772,967,1818,1002,542,G11,1.07E+06,G12,7.90E+05,9.30E+05,1.98E+05
6,1:00,G01,6/2/21,6/2/21 1:00,8682,5556,1458,G02,25269,8201,1008,G03,10795,7349,2106,14915,5276,1524,9029,1350,552,D11,4.34E+05,D12,7.10E+05,5.72E+05,1.95E+05
6,5:00,G04,6/2/21,6/2/21 5:00,7337,2867,242,G05,8265,3235,856,G06,4174,2756,558,6592,2214,552,2145,251,307,E01,5.65E+05,E02,5.09E+05,5.37E+05,3.96E+04
6,9:00,G07,6/2/21,6/2/21 9:00,6081,2915,1003,G08,5312,4271,1781,G09,3953,2196,689,5115,2346,1157,1078,1054,562,E03,9.34E+05,E04,6.82E+05,8.08E+05,1.78E+05
6,15:00,G10,6/2/21,6/2/21 15:00,6552,6388,2285,G11,3816,4635,1303,G12,5691,5691,2192,5353,4178,1927,1399,883,542,E05,5.75E+05,E06,5.00E+05,5.37E+05,5.29E+04
6,17:00,H01,6/2/21,6/2/21 17:00,8334,7576,1607,H02,5330,6825,1885,H03,6722,6889,1440,6795,5322,1644,1503,416,225,E07,6.26E+05,E08,6.31E+05,6.28E+05,3.31E+03
6,21:00,H04,6/2/21,6/2/21 21:00,5164,6153,604,H05,6677,7790,1212,H06,5004,6304,913,5615,5062,910,923,905,304,E09,5.00E+05,E10,4.02E+05,4.51E+05,6.94E+04
7,1:00,B07,6/3/21,6/3/21 1:00,4394,6427,590,B08,5028,7785,613,B09,8539,11500,1630,5987,6428,944,2233,2627,594,F01,2.58E+06,F02,4.35E+05,1.51E+06,1.52E+06
7,5:00,B10,6/3/21,6/3/21 5:00,18621,16390,3379,B11,8576,11928,1725,B12,5295,6462,399,10831,8695,1835,6943,4973,1493,F03,9.30E+05,F04,1.19E+06,1.06E+06,1.85E+05
7,9:00,C07,6/3/21,6/3/21 9:00,5491,9897,1639,C08,5202,7941,680,C09,5452,9822,1122,5382,6915,1147,157,1108,480,F05,1.46E+06,F06,1.17E+06,1.31E+06,2.05E+05
7,13:00,C10,6/3/21,6/3/21 13:00,15315,9768,1347,C11,5879,14495,1520,C12,11272,13843,2769,10822,9527,1879,4734,2562,775,F07,8.74E+05,F08,4.11E+05,6.42E+05,3.27E+05
7,17:00,D07,6/3/21,6/3/21 17:00,4851,11629,1836,D08,6787,12172,1697,D09,20462,13697,1878,10700,9375,1804,8509,1072,95,F09,5.37E+05,F10,4.86E+05,5.12E+05,3.63E+04
7,21:00,D10,6/3/21,6/3/21 21:00,9862,15356,3707,D11,6815,16601,4893,D12,18233,14864,3924,11637,11705,4175,5912,895,631,F11,4.16E+05,F12,4.91E+05,4.53E+05,5.29E+04
8,1:00,A01,6/4/21,6/4/21 1:00,4577,10863,2729,A02,4174,12707,3833,A03,7783,13339,2837,5511,9227,3133,1977,1287,609,G01,1.09E+07,G02,5.69E+06,8.31E+06,3.71E+06
