Sample,Date,Day
16.17,6/12/21,16
16.21,6/12/21,16
17.01,6/13/21,17
17.05,6/13/21,17
17.09,6/13/21,17
17.13,6/13/21,17
17.17,6/13/21,17
17.21,6/13/21,17
18.01,6/14/21,18
18.05,6/14/21,18
18.09,6/14/21,18
18.13,6/14/21,18
18.17,6/14/21,18
18.21,6/14/21,18
19.01,6/15/21,19
19.05,6/15/21,19
19.09,6/15/21,19
19.13,6/15/21,19
19.17,6/15/21,19
19.21,6/15/21,19
20.01,6/16/21,20
20.05,6/16/21,20
20.09,6/16/21,20
20.13,6/16/21,20
20.17,6/16/21,20
20.21,6/16/21,20
21.01,6/17/21,21
21.05,6/17/21,21
21.09,6/17/21,21
21.13,6/17/21,21
21.17,6/17/21,21
21.21,6/17/21,21
22.01,6/18/21,22
22.05,6/18/21,22
22.09,6/18/21,22
22.13,6/18/21,22
