Date,Time,DateTime,Intensity....lum.ft2.,PO4,Si.OH.4,NO3,NO2,NH4,chl,temp,O2,cyano,pico,nano,Date.Time
6/12/2021,17:00,6/12/2021 17:00,310,0.21,4.13,0.08,0.04,0.03,-0.832188108,0.4535248,-0.239186053,-0.770464546,-0.769020158,-0.771558394,16.17
6/12/2021,21:00,6/12/2021 21:00,2,0.32,5.43,0.15,0.06,0.12,-0.832244902,-0.122641827,-0.288888887,-0.836415965,-0.687303581,-0.707533543,16.21
6/13/2021,1:00,6/13/2021 1:00,0,0.21,3,0.08,0.04,0.04,-0.828758318,-0.073087275,-0.214774928,-0.890208785,-0.813436946,-0.743684594,17.01
6/13/2021,5:00,6/13/2021 5:00,0,0.33,4.32,0.16,0.04,0.15,-0.834862064,-0.037551344,-0.474951472,-0.961427401,-0.910728483,-0.774822571,17.05
6/13/2021,9:00,6/13/2021 9:00,172,0.24,4.07,0.08,0.04,0.05,-0.844870179,0.488279952,-0.44777215,-1.023742413,-1.019343438,-0.819386864,17.09
6/13/2021,13:00,6/13/2021 13:00,449,0.2,3.95,0.16,0.03,0.03,-0.85221794,0.558012163,-0.403548751,-1.078980113,-1.008529539,-0.883047465,17.13
6/13/2021,17:00,6/13/2021 17:00,255,0.17,2.36,0.02,0.06,0.04,-0.859565701,0.627744374,-0.359325353,-1.1075372,-0.947295666,-0.919967988,17.17
6/13/2021,21:00,6/13/2021 21:00,12,0.14,1.91,0.02,0.05,0.12,-0.861782279,0.542867994,-0.38583343,-1.102239209,-0.910537963,-0.913820485,17.21
6/14/2021,1:00,6/14/2021 1:00,0,0.17,2.58,0.02,0.05,0.05,-0.868849089,0.66462155,-0.421852543,-1.102329822,-0.692779833,-0.893476141,18.01
6/14/2021,5:00,6/14/2021 5:00,3,0.15,2.92,0.03,0.04,0.02,-0.875133601,0.631084684,-0.508371975,-1.10109936,-0.586278198,-0.822895539,18.05
6/14/2021,9:00,6/14/2021 9:00,384,0.15,2.46,0.02,0.03,0.06,-0.88171474,0.625633957,-0.493642903,-1.118000516,-0.617536279,-0.805570625,18.09
6/14/2021,13:00,6/14/2021 13:00,558,0.18,2.66,0.03,0.04,0.01,-0.883663286,0.771539056,-0.478946134,-1.141781473,-0.626487423,-0.787142938,18.13
6/14/2021,17:00,6/14/2021 17:00,51,0.17,2.81,0.04,0.04,0.08,-0.885611832,0.917444154,-0.464249366,-1.167650583,-0.681093557,-0.784493655,18.17
6/14/2021,21:00,6/14/2021 21:00,10,0.17,2.38,0.01,0.04,0.08,-0.887890654,0.890585914,-0.436535965,-1.175926705,-0.735743357,-0.777345018,18.21
6/15/2021,1:00,6/15/2021 1:00,0,0.19,1.99,0.06,0.05,0.05,-0.893182072,0.727980005,-0.487334414,-1.184202827,-0.790393157,-0.77019638,19.01
6/15/2021,5:00,6/15/2021 5:00,1,0.2,2.12,0.05,0.04,0.07,-0.898310949,0.615666477,-0.556893343,-1.175546073,-0.786466448,-0.776865502,19.05
6/15/2021,9:00,6/15/2021 9:00,178,0.21,2.18,0.04,0.04,0.07,-0.904109531,0.631689756,-0.570764812,-1.16688932,-0.782539738,-0.783534623,19.09
6/15/2021,13:00,6/15/2021 13:00,622,0.2,1.77,0,0.04,0.03,-0.909439016,0.832367964,-0.504973787,-1.158232566,-0.778613029,-0.790203744,19.13
6/15/2021,17:00,6/15/2021 17:00,87,0.26,3.01,0.06,0.04,0.09,-0.914768502,1.033046173,-0.439182762,-1.149575812,-0.774686319,-0.796872866,19.17
6/15/2021,21:00,6/15/2021 21:00,1,0.19,1.09,0,0.05,0.1,-0.914560787,1.152202697,-0.437086244,-1.140919058,-0.77075961,-0.803541987,19.21
6/16/2021,1:00,6/16/2021 1:00,0,0.2,1.4,0,0.04,0.07,-0.9175674,1.007964963,-0.476154144,-1.120112706,-0.754044388,-0.80274242,20.01
6/16/2021,5:00,6/16/2021 5:00,0,0.19,1,0,0.04,0.06,-0.924502843,0.93822367,-0.586878365,-1.099306354,-0.737329166,-0.801942854,20.05
