IMG Genome ID,Acidimicrobiia,Acidithiobacillia,Actinomycetes,Alphaproteobacteria,Anaerolineae,Aquificae,Ardenticatenia,Armatimonadia,Bacilli,Bacteriovoracia,Bacteroidia,Balneolia,Bdellovibrionia,Betaproteobacteria,Blastocatellia,Caldilineae,Caldisericia,Calditrichia,Candidatus Babeliae,Candidatus Brocadiia,Candidatus Desulfofervidia,Candidatus Izimaplasma,Candidatus Saccharimonadia,Chitinivibrionia,Chitinophagia,Chlamydiia,Chlorobiia,Chloroflexia,Chrysiogenetes,Chthonomonadetes,Clostridia,Coprothermobacteria,Coriobacteriia,Cyanophyceae,Cytophagia,Deferribacteres,Deferrisomatia,Dehalococcoidia,Deinococci,Deltaproteobacteria,Desulfarculia,Desulfobaccia,Desulfobacteria,Desulfobulbia,Desulfomonilia,Desulfovibrionia,Desulfurellia,Desulfuribacillia,Desulfuromonadia,Dethiobacteria,Dictyoglomia,Dissulfuribacteria,Elusimicrobia,Endomicrobiia,Epsilonproteobacteria,Erysipelotrichia,Fibrobacteria,Fimbriimonadia,Flavobacteriia,Fusobacteriia,Gammaproteobacteria,Gemmatimonadetes,Holophagae,Hydrogenophilia,Ignavibacteria,Ktedonobacteria,Lentisphaeria,Limnochordia,Longimicrobiia,Methylacidiphilae,Mollicutes,Myxococcia,Negativicutes,Nitriliruptoria,Nitrospinia,Nitrospiria,Oligoflexia,Opitutae,Phycisphaerae,Planctomycetia,Rhodothermia,Rubrobacteria,Saprospiria,Spartobacteria,Sphingobacteriia,Spirochaetia,Synergistia,Syntrophia,Syntrophobacteria,Syntrophorhabdia,Terriglobia,Thermoanaerobaculia,Thermodesulfobacteria,Thermodesulfovibrionia,Thermoflexia,Thermoleophilia,Thermomicrobia,Thermotogae,Tissierellia,Verrucomicrobiae,Vicinamibacteria,Zetaproteobacteria,unclassified
3300060358,2023,1127,142191,2833782,598,8609,1460,932,76416,4117,90780,4716,18416,208621,828,448,16,337,53,858,232,1159,133,75,32658,3120,4114,1689,693,410,49796,30,2373,81216,151599,722,397,345,2956,4272,324,21,6307,1898,279,15386,484,23,4722,145,325,174,41,86,12265,1093,2516,423,3061747,2064,5738034,612,78,185,691,1326,3774,58,484,33,680,12353,11600,622,831,1679,1445,5737,2249,20344,4180,549,60524,780,40922,7809,924,499,273,1106,6954,149,493,375,91,1473,604,928,2640,17620,460,1611,90961
3300060359,1460,1234,138425,2802379,543,8690,1111,800,100138,4729,92144,4633,24282,250877,858,367,42,377,35,685,74,1684,274,95,29460,2924,5282,1566,469,319,65521,0,2982,87124,126267,965,393,364,4350,4348,644,36,6870,1845,169,20955,618,31,3965,436,126,82,82,69,17138,1999,2013,398,2194074,2779,3481057,546,57,151,570,1270,3350,39,723,26,1424,9515,13183,516,997,2009,1635,7099,2657,23347,4253,425,45852,968,38478,9024,1211,510,265,1187,7665,108,813,288,112,1583,438,1302,2835,19649,444,1396,67485
3300060360,1808,1585,183342,1882409,650,9961,989,1186,97266,4612,84772,4583,22084,263523,1067,465,40,338,60,690,60,1381,329,63,27875,3624,5662,2286,437,528,70383,20,3092,93297,107835,1070,352,421,4036,4226,609,28,7258,1883,262,21465,586,19,4917,374,142,125,96,259,14870,1500,2544,603,1596815,2204,2960996,959,86,306,433,1798,2782,95,713,25,1520,13367,12369,782,845,2469,2315,6202,2797,26315,4613,659,26705,991,35942,9854,903,602,724,1573,9033,112,641,394,170,1766,526,1344,3219,20095,508,1571,59158
3300060361,3850,1735,289021,2792482,1225,6727,1474,2688,103839,6171,70327,4793,29548,270894,1086,661,37,555,139,962,116,1421,322,119,24285,5093,5426,3743,767,1123,65795,26,3941,109205,96953,965,494,496,5378,6315,680,46,8658,2715,492,18121,555,5,6122,245,243,223,257,140,16263,1919,2133,1130,1540810,2568,4185900,1202,146,340,391,2791,5749,187,692,69,890,23333,12184,1075,1331,2776,2293,10152,4114,37286,5962,1152,28602,1949,33161,12471,1190,490,731,404,14825,154,764,501,263,2539,1081,1362,2447,34845,1041,1762,72834
3300060362,12412,1881,69821,2896258,701,3117,1145,544,40715,4632,113593,7480,15096,182190,427,425,61,1693,9,1151,691,716,171,360,40001,1274,2434,2125,470,355,31113,34,1240,49373,193484,486,239,215,2660,5635,231,17,7949,2748,524,11436,254,25,8684,52,205,228,317,70,9831,1109,1216,257,2100697,1698,3259557,1180,156,292,2159,1367,5080,199,220,71,575,9909,4983,1465,1123,1978,1801,21053,1655,20171,4901,642,56963,1342,61037,6875,614,545,606,145,3962,53,515,379,21,1907,715,1310,1915,40291,774,1780,120323
3300060363,7123,1730,82263,3778098,679,2712,904,846,40155,3387,74419,5104,6472,157247,305,362,31,886,31,1017,252,519,177,219,25327,1548,2287,1697,416,447,28452,14,1221,48998,134993,429,206,289,2634,4018,251,0,5901,1514,222,9354,364,23,4860,65,150,145,266,150,9783,984,929,365,1756678,1510,2785784,770,72,279,940,1339,4614,173,155,63,549,7877,5408,1299,829,1366,1301,19290,1870,18053,3859,598,36511,897,37462,6246,816,304,374,151,4782,57,354,215,34,1235,543,987,1740,49903,489,1107,95583
3300060364,7861,642,60367,4366839,435,3017,537,200,57785,6074,80619,6578,30032,157499,376,426,23,382,20,204,117,805,106,326,29809,1169,4402,1007,515,46,33119,27,988,79625,164919,647,216,99,1453,2031,276,21,5816,1384,148,15788,255,26,4295,97,203,86,33,278,10303,737,1518,148,3191461,2252,2609655,425,131,20,1283,484,6401,55,188,51,530,4537,6297,593,398,1468,985,23573,1520,16284,2881,260,44302,988,48088,5876,292,376,266,191,2580,63,688,55,82,1419,288,605,1427,75482,129,2207,63320
3300060365,3320,543,72666,4117265,467,2969,620,248,62295,4676,72460,5750,31817,159886,444,254,8,322,28,270,110,815,149,362,26993,1403,4050,960,596,71,37702,4,1112,79277,145022,667,269,79,1594,1962,318,11,5925,1406,121,14834,176,27,4588,74,238,68,55,29,9144,1088,1573,160,2321465,2930,2454214,400,80,9,1192,592,6851,68,115,5,616,5494,7030,650,436,1713,990,33986,1386,18948,2522,312,46759,1709,40543,5301,432,1038,300,296,3245,70,683,93,54,1857,262,819,1405,86866,226,2000,56819
3300060366,8477,641,47789,4722256,442,3247,613,406,49437,2911,82004,6720,40444,158055,393,341,20,388,28,471,163,491,176,346,29663,2167,3795,772,697,23,32058,14,881,65445,164460,608,314,74,1113,2482,131,17,5631,1487,84,11898,254,23,4779,139,204,94,104,43,8745,1034,1314,149,2798291,2053,2818854,417,113,19,1056,598,10861,49,123,12,483,4371,4733,523,387,1424,2036,58406,1691,21985,2676,374,35984,2234,48379,4246,688,449,403,210,2919,48,559,124,70,1293,390,920,1628,168503,167,2365,66360
3300060367,7701,465,33426,4890206,337,1859,716,444,35766,2422,74438,7331,20437,112299,254,315,8,472,8,262,101,446,121,222,29486,1084,3017,427,614,53,21865,0,533,43884,185737,684,285,180,1132,2447,207,19,4506,1580,75,8110,212,5,4656,151,172,37,52,17,7272,722,916,208,2801673,1920,2361648,422,61,4,1375,411,15512,20,33,7,538,2742,3297,500,263,1559,1357,86433,2116,26650,3061,303,31969,2713,51347,4283,355,416,351,103,2339,95,691,31,23,887,120,721,990,244386,376,1849,61397
