Date,Time,Time.Fraction,Site.Name,Chlorophyll.RFU,Chlorophyll.ugL,Conductivity.uscm,Depth.m,ODO.sat,ODO.mgL,Sal.psu,pH,Temp.C,Battery.V,Date.Time
5/27/21,11:09:42,0,Deployment Site,1.24,2.63,40019.5,2.115,125.3,10.54,33.35,8.43,13.847,2.69,5/27/21 11:09
5/27/21,11:14:42,0,Deployment Site,1.4,3.27,40022.1,2.118,125.8,10.58,33.35,8.43,13.849,2.69,5/27/21 11:14
5/27/21,11:19:42,0,Deployment Site,1.42,3.38,40019.1,2.125,126.1,10.6,33.35,8.43,13.848,2.69,5/27/21 11:19
5/27/21,11:24:42,0,Deployment Site,1.68,4.39,40008,2.122,126.5,10.64,33.35,8.43,13.838,2.69,5/27/21 11:24
5/27/21,11:29:42,0,Deployment Site,1.49,3.65,40001.2,2.124,127.4,10.72,33.36,8.44,13.818,2.69,5/27/21 11:29
5/27/21,11:34:42,0,Deployment Site,1.52,3.77,40002.1,2.123,127.1,10.7,33.36,8.44,13.823,2.7,5/27/21 11:34
5/27/21,11:39:42,0,Deployment Site,1.33,3.03,40008.6,2.125,127.1,10.69,33.36,8.44,13.829,2.69,5/27/21 11:39
5/27/21,11:44:42,0,Deployment Site,1.49,3.66,40014.7,2.124,126.9,10.68,33.36,8.44,13.833,2.7,5/27/21 11:44
5/27/21,11:49:42,0,Deployment Site,2.85,9.1,40011.6,2.126,126.8,10.67,33.36,8.44,13.832,2.7,5/27/21 11:49
5/27/21,11:54:42,0,Deployment Site,2.18,6.4,40011.3,2.125,126.8,10.67,33.36,8.44,13.831,2.7,5/27/21 11:54
5/27/21,11:59:42,0,Deployment Site,1.23,2.62,40013.9,2.127,127.1,10.69,33.36,8.44,13.834,2.7,5/27/21 11:59
5/27/21,12:04:42,0,Deployment Site,1.41,3.34,40015.9,2.128,126.7,10.66,33.36,8.44,13.832,2.7,5/27/21 12:04
5/27/21,12:09:42,0,Deployment Site,1.03,1.8,40021.2,2.127,126.6,10.65,33.36,8.44,13.841,2.7,5/27/21 12:09
