DateTime,Day.x,Hour,Sample.ID,Date.x,Cyanobacteria,Picoeuks,Nanoeuks,HourTime.x,Date.Time..GMT..0700,Temp....F.,Intensity....lum.ft2.,Host.Connect,Stopped,EOF,tmp.x,X,Date.y,Time.x,Time.Fraction,Site.Name,Chlorophyll.RFU,Chlorophyll.ugL,Conductivity.uscm,Depth.m,ODO.sat,ODO.mgL,Sal.psu,pH,Temp.C,Battery.V,newdate,txtdate,Seq.,Bottle,Time.y,Day.y,Date.x,PO4,Si.OH.4,NO3,NO2,NH4,HourTime.y,Date.y,Time.x,Temperature_F,dew.point_F,Humidity,Wind,wind.speed_mph,wind.gust_mph,pressure_in,precip_in,condition,rain.value,wind.dir.value,military.time,month.day,humidity.perc,tmp.y,moon_phase,variable,date,day,Time.y,feet
5/27/2021 8:36,NA,NA,NA,NA,NA,NA,NA,NA,5/27/2021 8:36,62.81,13, , , ,5/27/2021 8:36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/27/2021 8:41,NA,NA,NA,NA,NA,NA,NA,NA,5/27/2021 8:41,62.73,456, , , ,5/27/2021 8:41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/27/2021 8:46,NA,NA,NA,NA,NA,NA,NA,NA,5/27/2021 8:46,61.88,407, , , ,5/27/2021 8:46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/27/2021 8:51,NA,NA,NA,NA,NA,NA,NA,NA,5/27/2021 8:51,61.72,488, , , ,5/27/2021 8:51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/27/2021 8:56,NA,NA,NA,NA,NA,NA,NA,NA,5/27/2021 8:56,61.57,526, , , ,5/27/2021 8:56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/27/2021 9:01,NA,NA,NA,NA,NA,NA,NA,NA,5/27/2021 9:01,61.34,440, , , ,5/27/2021 9:01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/27/2021 9:06,NA,NA,NA,NA,NA,NA,NA,NA,5/27/2021 9:06,61.42,584, , , ,5/27/2021 9:06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/27/2021 9:11,NA,NA,NA,NA,NA,NA,NA,NA,5/27/2021 9:11,61.96,702, , , ,5/27/2021 9:11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/27/2021 9:16,NA,NA,NA,NA,NA,NA,NA,NA,5/27/2021 9:16,63.04,930, , , ,5/27/2021 9:16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/27/2021 9:46,NA,NA,NA,NA,NA,NA,NA,NA,5/27/2021 9:46,63.04,487, , , ,5/27/2021 9:46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
